"path","frequency","realm","mode","version","variable","date_range"
"/g/data/ub4/erai/netcdf/fx/ei_invariant_075x075_90N0E90S35925E.nc","fx","land","","v01","cvl","19790101_20190831"
"/g/data/ub4/erai/netcdf/fx/ei_invariant_075x075_90N0E90S35925E.nc","fx","land","","v01","cvh","19790101_20190831"
"/g/data/ub4/erai/netcdf/fx/ei_invariant_075x075_90N0E90S35925E.nc","fx","land","","v01","tvh","19790101_20190831"
"/g/data/ub4/erai/netcdf/fx/ei_invariant_075x075_90N0E90S35925E.nc","fx","land","","v01","tvl","19790101_20190831"
"/g/data/ub4/erai/netcdf/fx/ei_invariant_075x075_90N0E90S35925E.nc","fx","","","v01","sdfor","19790101_20190831"
"/g/data/ub4/erai/netcdf/fx/ei_invariant_075x075_90N0E90S35925E.nc","fx","","","v01","z","19790101_20190831"
"/g/data/ub4/erai/netcdf/fx/ei_invariant_075x075_90N0E90S35925E.nc","fx","","","v01","sdor","19790101_20190831"
"/g/data/ub4/erai/netcdf/fx/ei_invariant_075x075_90N0E90S35925E.nc","fx","","","v01","isor","19790101_20190831"
"/g/data/ub4/erai/netcdf/fx/ei_invariant_075x075_90N0E90S35925E.nc","fx","","","v01","anor","19790101_20190831"
"/g/data/ub4/erai/netcdf/fx/ei_invariant_075x075_90N0E90S35925E.nc","fx","","","v01","slor","19790101_20190831"
"/g/data/ub4/erai/netcdf/fx/ei_invariant_075x075_90N0E90S35925E.nc","fx","","","v01","lsm","19790101_20190831"
